13:22:54.635 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 23880 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 23880 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:28:16.582 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.014 seconds (JVM running for 5.464)]- Started DemoApplication in 5.014 seconds (JVM running for 5.464)
18:28:21.060 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
18:28:21.061 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
18:28:21.061 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
18:59:50.953 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 11740 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 11740 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
18:59:50.959 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
18:59:56.192 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.84 seconds (JVM running for 6.37)]- Started DemoApplication in 5.84 seconds (JVM running for 6.37)
19:00:11.475 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
19:00:11.476 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
19:00:11.476 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
19:02:43.738 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 900 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 900 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
19:02:43.742 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
19:02:48.105 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 4.906 seconds (JVM running for 5.318)]- Started DemoApplication in 4.906 seconds (JVM running for 5.318)
19:03:32.002 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
19:03:32.003 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:72] [Message:13]- 13
19:03:32.003 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:74] [Message:14]- 14
19:04:34.481 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:55] [Message:Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 21684 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)]- Starting DemoApplication using Java 11.0.11 on DESKTOP-5LEUD1T with PID 21684 (C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2\build\classes\java\main started by hjun in C:\Users\hjun\Code\rising_camp\api-server-spring-boot-final_2)
19:04:34.484 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:660] [Message:No active profile set, falling back to default profiles: default]- No active profile set, falling back to default profiles: default
19:04:39.351 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:61] [Message:Started DemoApplication in 5.419 seconds (JVM running for 5.827)]- Started DemoApplication in 5.419 seconds (JVM running for 5.827)
19:04:44.031 INFO  [File:OrderDAO.java] [Func:findOrdersById] [Line:68] [Message:12]- 12
